LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.416, Time: 3.268713 s
         1497901 function calls (1481118 primitive calls) in 5.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      984    0.001    0.000    0.014    0.000 artist.py:1536(is_alias)
 1150/220    0.006    0.000    0.013    0.000 _compiler.py:37(_compile)
        3    0.000    0.000    0.013    0.004 _fontconfig_pattern.py:57(comma_separated)
       41    0.001    0.000    0.013    0.000 enum.py:528(__new__)
      627    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.013    0.013 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.013    0.013 _methods.py:1(<module>)
    63558    0.012    0.000    0.012    0.000 {built-in method builtins.min}
      100    0.001    0.000    0.012    0.000 pyplot.py:208(_add_pyplot_note)
  225/213    0.012    0.000    0.012    0.000 _compiler.py:441(_get_literal_prefix)
        1    0.000    0.000    0.012    0.012 format.py:1(<module>)
        1    0.000    0.000    0.012    0.012 artist.py:1(<module>)
        1    0.000    0.000    0.012    0.012 cbook.py:1(<module>)
     4409    0.005    0.000    0.012    0.000 artist.py:1549(aliased_name)
        1    0.012    0.012    0.012    0.012 container.py:1(<module>)
16372/16369    0.010    0.000    0.012    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.012    0.006 version.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _internal.py:1(<module>)
        1    0.000    0.000    0.012    0.012 transforms.py:1(<module>)
      358    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.010    0.010 axis3d.py:1(<module>)
        1    0.006    0.006    0.010    0.010 getlimits.py:168(_register_known_types)
        1    0.000    0.000    0.010    0.010 quiver.py:1(<module>)
        1    0.001    0.001    0.010    0.010 helpers.py:1(<module>)
        1    0.000    0.000    0.010    0.010 pickle.py:1(<module>)
      345    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      406    0.010    0.000    0.010    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.009    0.009 bz2.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _format_impl.py:1(<module>)
        1    0.000    0.000    0.009    0.009 ExifTags.py:1(<module>)
        1    0.000    0.000    0.009    0.009 common.py:8(pyparsing_common)
       21    0.001    0.000    0.009    0.000 typing.py:2814(__new__)
       42    0.003    0.000    0.009    0.000 __init__.py:355(namedtuple)
      479    0.005    0.000    0.009    0.000 enum.py:254(__set_name__)
     7340    0.004    0.000    0.008    0.000 enum.py:720(__call__)
        1    0.000    0.000    0.008    0.008 _array_like.py:1(<module>)
       61    0.005    0.000    0.008    0.000 {built-in method builtins.eval}
      959    0.006    0.000    0.008    0.000 inspect.py:3029(__init__)
        1    0.000    0.000    0.008    0.008 einsumfunc.py:1(<module>)
     3151    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      592    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
       11    0.000    0.000    0.008    0.001 rcsetup.py:361(_validate_cmap)
       11    0.008    0.001    0.008    0.001 __init__.py:65(check_isinstance)
     9211    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
      265    0.001    0.000    0.008    0.000 overrides.py:144(decorator)
        1    0.000    0.000    0.008    0.008 units.py:1(<module>)
       21    0.000    0.000    0.008    0.000 typing.py:2795(_make_nmtuple)
       48    0.000    0.000    0.008    0.000 __init__.py:1406(_add_data_doc)
        2    0.000    0.000    0.007    0.004 __init__.py:12(__getattr__)
      231    0.001    0.000    0.007    0.000 typing.py:1269(__init__)
        1    0.000    0.000    0.007    0.007 expat.py:1(<module>)
        1    0.000    0.000    0.007    0.007 backend_tools.py:1(<module>)
      269    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.007    0.007 _polynomial_impl.py:1(<module>)
    37168    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.007    0.007 parse.py:1(<module>)
        1    0.000    0.000    0.007    0.007 cm.py:32(_gen_cmap_registry)
        3    0.000    0.000    0.007    0.002 exceptions.py:1(<module>)
      636    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
      627    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
        3    0.000    0.000    0.006    0.002 patches.py:2293(__init_subclass__)
        1    0.000    0.000    0.006    0.006 contour.py:1(<module>)
      340    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
        6    0.000    0.000    0.006    0.001 patches.py:2335(pprint_styles)
      117    0.001    0.000    0.006    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.006    0.006 _utils_impl.py:1(<module>)
      113    0.001    0.000    0.006    0.000 rcsetup.py:99(f)
       89    0.006    0.000    0.006    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.006    0.006 dates.py:1(<module>)
      692    0.003    0.000    0.006    0.000 functools.py:35(update_wrapper)
     7567    0.006    0.000    0.006    0.000 {method 'expandtabs' of 'str' objects}
       64    0.001    0.000    0.006    0.000 deprecation.py:414(make_keyword_only)
        1    0.000    0.000    0.006    0.006 __init__.py:599(matplotlib_fname)
    95/90    0.000    0.000    0.006    0.000 typing.py:515(__getitem__)
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
        1    0.000    0.000    0.005    0.005 table.py:1(<module>)
       90    0.000    0.000    0.005    0.000 typing.py:694(Union)
        1    0.000    0.000    0.005    0.005 _mathtext.py:1808(Parser)
        1    0.000    0.000    0.005    0.005 numerictypes.py:1(<module>)
    85/30    0.000    0.000    0.005    0.000 typing.py:1294(__getitem__)
        3    0.000    0.000    0.005    0.002 <frozen genericpath>:16(exists)
       12    0.000    0.000    0.005    0.000 core.py:1248(parse_string)
     2703    0.003    0.000    0.005    0.000 cbook.py:468(_strip_comment)
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
      583    0.002    0.000    0.005    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.005    0.005 _secondary_axes.py:1(<module>)
      450    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     8166    0.003    0.000    0.005    0.000 _parser.py:168(__getitem__)
       39    0.001    0.000    0.005    0.000 colors.py:1081(from_list)
       25    0.005    0.000    0.005    0.000 {built-in method unicodedata.name}
        1    0.000    0.000    0.005    0.005 decimal.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _char_codes.py:1(<module>)
        8    0.000    0.000    0.005    0.001 core.py:6238(__init__)
       50    0.000    0.000    0.005    0.000 typing.py:521(__getitem__)
        1    0.000    0.000    0.005    0.005 bisect.py:1(<module>)
      627    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
       23    0.000    0.000    0.004    0.000 ast.py:34(parse)
      485    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.001    0.001    0.004    0.004 rrule.py:1(<module>)
     28/7    0.000    0.000    0.004    0.001 core.py:5048(leave_whitespace)
      455    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
      261    0.000    0.000    0.004    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
        1    0.000    0.000    0.004    0.004 scimath.py:1(<module>)
        6    0.001    0.000    0.004    0.001 getlimits.py:36(__init__)
        1    0.000    0.000    0.004    0.004 version.py:161(Version)
      443    0.001    0.000    0.004    0.000 core.py:560(copy)
       64    0.000    0.000    0.004    0.000 util.py:420(replaced_by_pep8)
        7    0.001    0.000    0.004    0.001 enum.py:918(_convert_)
       50    0.000    0.000    0.004    0.000 typing.py:753(Literal)
       14    0.000    0.000    0.004    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.004    0.004 _function_base_impl.py:1(<module>)
        1    0.000    0.000    0.004    0.004 lzma.py:1(<module>)
      253    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      627    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      230    0.001    0.000    0.004    0.000 overrides.py:85(verify_matching_signatures)
      439    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
      340    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
      443    0.001    0.000    0.004    0.000 copy.py:61(copy)
   306/12    0.001    0.000    0.004    0.000 core.py:893(_parseNoCache)
     59/7    0.000    0.000    0.004    0.001 core.py:4239(leave_whitespace)
        1    0.000    0.000    0.004    0.004 printoptions.py:1(<module>)
        1    0.000    0.000    0.004    0.004 uuid.py:1(<module>)
