LebwohlLasher_vectorised.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.841, Time: 1.843726 s
         346239 function calls (343897 primitive calls) in 2.368 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.001    0.000 einsumfunc.py:1057(einsum)
       36    0.000    0.000    0.001    0.000 getlimits.py:26(_fr1)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
      239    0.000    0.000    0.001    0.000 typing.py:730(<genexpr>)
       55    0.000    0.000    0.001    0.000 typing.py:1417(copy_with)
       51    0.001    0.000    0.001    0.000 shape_base.py:380(stack)
       72    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
     15/9    0.001    0.000    0.001    0.000 _parser.py:512(_parse)
       51    0.001    0.000    0.001    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
        1    0.001    0.001    0.001    0.001 {built-in method _hashlib.openssl_sha1}
     2925    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      460    0.001    0.000    0.001    0.000 _inspect.py:66(getargs)
        4    0.001    0.000    0.001    0.000 typing.py:1855(__new__)
      204    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
  822/817    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x5c91cf64aae0}
       76    0.000    0.000    0.001    0.000 typing.py:1640(__hash__)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1704(_array_str_implementation)
      125    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       18    0.000    0.000    0.001    0.000 arrayprint.py:564(wrapper)
       86    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
       18    0.001    0.000    0.001    0.000 arrayprint.py:1697(_guarded_repr_or_str)
      102    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        9    0.000    0.000    0.001    0.000 _compiler.py:578(_code)
      331    0.000    0.000    0.001    0.000 {built-in method fromkeys}
     1278    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
       66    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
     1720    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        3    0.000    0.000    0.001    0.000 warnings.py:133(filterwarnings)
     4462    0.001    0.000    0.001    0.000 typing.py:1630(<genexpr>)
      339    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      102    0.000    0.000    0.001    0.000 _twodim_base_impl.py:176(eye)
       25    0.000    0.000    0.001    0.000 dtypes.py:30(_add_dtype_helper)
       51    0.000    0.000    0.001    0.000 numeric.py:98(zeros_like)
       11    0.000    0.000    0.001    0.000 typing.py:1291(__ror__)
      116    0.000    0.000    0.001    0.000 typing.py:317(_deduplicate)
     2771    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _nanfunctions_impl.py:1(<module>)
      204    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      102    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
     2252    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      292    0.000    0.000    0.001    0.000 typing.py:1205(__getattr__)
      396    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
     1954    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
     30/9    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       12    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
2260/2229    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
      310    0.000    0.000    0.000    0.000 function_base.py:473(_add_docstring)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     1150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      106    0.000    0.000    0.000    0.000 __init__.py:164(match)
       53    0.000    0.000    0.000    0.000 _ufunc_config.py:446(__enter__)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
     1340    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      127    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      335    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      833    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        9    0.000    0.000    0.000    0.000 typing.py:1074(_generic_class_getitem)
        1    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
       51    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
      460    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       89    0.000    0.000    0.000    0.000 typing.py:1004(_typevar_subst)
        2    0.000    0.000    0.000    0.000 enum.py:528(__new__)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       50    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
      408    0.000    0.000    0.000    0.000 numeric.py:1469(<genexpr>)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       51    0.000    0.000    0.000    0.000 _linalg.py:207(_commonType)
      156    0.000    0.000    0.000    0.000 typing.py:988(_is_unpacked_typevartuple)
      508    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
     2199    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
  419/341    0.000    0.000    0.000    0.000 typing.py:1285(__hash__)
      460    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:72(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      508    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       51    0.000    0.000    0.000    0.000 _methods.py:49(_sum)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
       51    0.000    0.000    0.000    0.000 shape_base.py:370(_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       23    0.000    0.000    0.000    0.000 overrides.py:179(decorator)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      310    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
      156    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      974    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      974    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      524    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
    379/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
      679    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       36    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      400    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
      549    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        9    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
        4    0.000    0.000    0.000    0.000 typing.py:1874(__init__)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:470(inner)
     1736    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
       18    0.000    0.000    0.000    0.000 enum.py:1561(__and__)
       62    0.000    0.000    0.000    0.000 typing.py:1600(__hash__)
        2    0.000    0.000    0.000    0.000 typing.py:2888(__new__)
        4    0.000    0.000    0.000    0.000 typing.py:1753(_get_protocol_attrs)
       54    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      460    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      102    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
  557/479    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       53    0.000    0.000    0.000    0.000 _ufunc_config.py:462(__exit__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      697    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
      436    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      335    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      460    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       51    0.000    0.000    0.000    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
      422    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      127    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       36    0.000    0.000    0.000    0.000 getlimits.py:18(_fr0)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
       11    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       29    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      339    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:1999(__init_subclass__)
      343    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      127    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       85    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      255    0.000    0.000    0.000    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
      419    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      269    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      357    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      256    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      102    0.000    0.000    0.000    0.000 _linalg.py:201(_realType)
      232    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
      204    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
    30/12    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        5    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
       96    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       42    0.000    0.000    0.000    0.000 getlimits.py:103(_float_conv)
       51    0.000    0.000    0.000    0.000 _linalg.py:182(_makearray)
      109    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
      184    0.000    0.000    0.000    0.000 typing.py:1320(<genexpr>)
       13    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
    30/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
      286    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:731(_validate_hash_pyc)
        4    0.000    0.000    0.000    0.000 typing.py:2145(runtime_checkable)
      176    0.000    0.000    0.000    0.000 _parser.py:261(get)
       45    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
       78    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 threading.py:1441(__init__)
       54    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
    35/14    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
